 format: day,hour,forecast,value  location:53_114 Start : 20170101 
 3,0800,+4,6.000000 
 3,0800,+7,3.000000 
 3,1100,+4,6.000000 
 3,1100,+7,3.000000 
 3,1400,+4,6.000000 
 3,1400,+7,3.000000 
 3,1700,+4,6.000000 
 3,1700,+7,3.000000 
 3,2000,+4,6.000000 
 3,2000,+7,3.000000 
 3,2000,+10,1.000000 
 3,2300,+4,6.000000 
 3,2300,+7,3.000000 
 3,2300,+10,1.000000 
 4,0200,+4,6.000000 
 4,0200,+7,3.000000 
 4,0200,+10,1.000000 
 4,0500,+4,3.000000 
 4,0500,+7,1.000000 
 4,0800,+4,3.000000 
 4,0800,+7,0.000000 
 4,1100,+4,3.000000 
 4,1100,+7,0.000000 
 4,1400,+4,3.000000 
 4,1400,+7,0.000000 
 4,1700,+4,3.000000 
 4,1700,+7,0.000000 
 4,2000,+4,3.000000 
 4,2000,+7,1.000000 
 4,2000,+10,1.000000 
 4,2300,+4,3.000000 
 4,2300,+7,1.000000 
 4,2300,+10,1.000000 
 5,0200,+4,3.000000 
 5,0200,+7,1.000000 
 5,0200,+10,1.000000 
 5,0500,+4,1.000000 
 5,0500,+7,1.000000 
 5,0800,+4,1.000000 
 5,0800,+7,1.000000 
 5,1100,+4,1.000000 
 5,1100,+7,1.000000 
 5,1400,+4,1.000000 
 5,1400,+7,1.000000 
 5,1700,+4,1.000000 
 5,1700,+7,1.000000 
 5,2000,+4,1.000000 
 5,2000,+7,1.000000 
 5,2000,+10,2.000000 
 5,2300,+4,1.000000 
 5,2300,+7,1.000000 
 5,2300,+10,2.000000 
 6,0200,+4,1.000000 
 6,0200,+7,1.000000 
 6,0200,+10,2.000000 
 6,0500,+4,1.000000 
 6,0500,+7,2.000000 
 6,0800,+4,0.000000 
 6,0800,+7,2.000000 
 6,1100,+4,0.000000 
 6,1100,+7,2.000000 
 6,1400,+4,0.000000 
 6,1400,+7,2.000000 
 6,1700,+4,0.000000 
 6,1700,+7,2.000000 
 6,2000,+4,0.000000 
 6,2000,+7,2.000000 
 6,2000,+10,-1.000000 
 6,2300,+4,0.000000 
 6,2300,+7,2.000000 
 6,2300,+10,-1.000000 
 7,0200,+4,0.000000 
 7,0200,+7,2.000000 
 7,0200,+10,-1.000000 
 7,0500,+4,2.000000 
 7,0500,+7,-1.000000 
 7,0800,+4,2.000000 
